customer_id,age,tenure_months,monthly_charge,purchases_per_month,support_calls,plan,churn
C1096,66.0,18,80.31,4.0,1,basic,0
C1097,37.0,49,61.26,8.0,4,standard,0
C1098,35.0,46,57.42,3.0,6,standard,1
C1099,22.0,10,62.59,4.0,4,basic,1
C1100,41.0,60,85.19,4.0,1,standard,0
C1101,45.0,15,106.75,4.0,1,premium,0
C1102,61.0,58,65.39,3.0,1,basic,0
C1103,60.0,1,44.78,3.0,1,standard,0
C1104,45.0,57,43.67,6.0,2,basic,0
C1105,34.0,56,94.6,2.0,2,standard,0
C1106,47.0,56,101.66,8.0,1,basic,0
C1107,37.0,48,30.53,4.0,2,premium,0
C1108,19.0,34,26.66,3.0,3,premium,0
C1109,66.0,51,79.44,4.0,2,basic,0
C1110,59.0,20,34.62,6.0,1,basic,0
C1111,47.0,56,102.47,3.0,1,standard,0
C1112,36.0,40,51.03,7.0,1,standard,0
C1113,66.0,33,34.39,1.0,2,basic,1
C1114,20.0,36,112.1,2.0,3,basic,0
C1115,43.0,41,36.55,2.0,1,basic,0
C1116,63.0,3,48.47,6.0,3,premium,1
C1117,72.0,10,35.36,4.0,3,basic,0
C1118,32.0,18,31.55,3.0,1,premium,0
C1119,55.0,9,22.11,8.0,0,basic,0
C1120,28.0,32,25.54,7.0,2,premium,0
C1121,24.0,48,37.46,3.0,1,basic,0
C1122,38.0,47,25.34,3.0,1,basic,0
C1123,68.0,34,79.11,4.0,2,premium,0
C1124,57.0,61,88.07,3.0,3,premium,1
C1125,45.0,41,59.36,5.0,1,basic,0
C1126,34.0,6,51.8,6.0,2,basic,0
C1127,26.0,55,70.45,1.0,2,basic,1
C1128,33.0,41,107.5,7.0,1,basic,0
C1129,26.0,46,105.11,6.0,1,basic,0
C1130,28.0,41,24.35,4.0,1,premium,0
C1131,57.0,40,38.15,3.0,2,basic,0
C1132,25.0,7,43.67,4.0,0,standard,0
C1133,45.0,40,44.94,4.0,1,basic,0
C1134,48.0,57,77.12,3.0,2,basic,0
C1135,34.0,22,61.63,4.0,0,standard,0
C1136,43.0,43,24.93,4.0,0,basic,0
C1137,25.0,3,57.36,2.0,1,standard,0
C1138,29.0,25,72.38,8.0,1,basic,0
C1139,45.0,32,30.17,5.0,1,premium,1
C1140,57.0,70,103.35,6.0,5,standard,1
C1141,41.0,16,25.2,6.0,2,premium,1
C1142,48.0,20,112.48,2.0,1,basic,1
C1143,47.0,30,29.91,1.0,5,basic,1
C1144,33.0,71,104.36,2.0,2,basic,0
C1145,33.0,61,110.27,3.0,2,standard,0
C1146,42.0,3,117.96,5.0,1,basic,0
C1147,19.0,17,100.2,6.0,0,basic,0
C1148,57.0,59,97.95,3.0,0,basic,0
C1149,53.0,5,84.25,4.0,0,basic,1
C1150,35.0,61,97.9,4.0,2,basic,0
C1151,39.0,20,33.46,6.0,4,basic,1
C1152,36.0,66,73.61,4.0,1,basic,0
C1153,55.0,21,71.42,3.0,5,standard,1
C1154,61.0,31,105.76,2.0,4,basic,1
C1155,24.0,47,66.28,5.0,1,basic,0
C1156,41.0,9,58.51,4.0,1,standard,1
C1157,18.0,40,83.96,1.0,1,standard,1
C1158,43.0,36,46.65,5.0,0,basic,0
C1159,32.0,56,33.98,3.0,0,standard,0
C1160,37.0,71,67.79,3.0,2,premium,0
C1161,44.0,48,61.69,2.0,0,standard,0
C1162,36.0,30,43.26,3.0,1,premium,0
C1163,40.0,29,56.75,2.0,3,standard,1
C1164,61.0,30,56.64,5.0,1,basic,0
C1165,64.0,58,52.75,1.0,4,basic,1
C1166,18.0,23,57.95,7.0,2,standard,0
C1167,39.0,12,88.57,5.0,1,premium,0
C1168,66.0,24,49.69,7.0,4,basic,0
C1169,48.0,2,114.89,2.0,1,basic,1
C1170,29.0,8,111.63,7.0,2,standard,0
C1171,51.0,7,68.09,4.0,1,basic,1
C1172,26.0,55,52.84,4.0,1,standard,0
C1173,19.0,52,73.54,1.0,0,standard,0
C1174,54.0,50,104.86,5.0,2,standard,0
C1175,47.0,33,85.26,4.0,2,premium,0
C1176,61.0,51,100.44,4.0,3,standard,0
C1177,37.0,12,73.27,2.0,2,standard,1
C1178,66.0,64,83.29,2.0,1,standard,1
C1179,42.0,36,48.82,2.0,0,premium,0
C1180,60.0,67,93.49,5.0,1,premium,0
C1181,23.0,11,40.24,7.0,2,basic,0
C1182,23.0,36,89.48,4.0,0,standard,0
C1183,62.0,50,106.07,6.0,2,basic,0
C1184,65.0,36,33.21,4.0,1,premium,1
C1185,71.0,32,81.44,2.0,0,standard,0
C1186,36.0,12,29.51,4.0,1,basic,1
C1187,19.0,28,92.57,2.0,1,basic,0
C1188,73.0,17,28.45,2.0,0,basic,0
C1189,52.0,22,113.59,2.0,0,standard,0
C1190,32.0,49,33.74,5.0,1,basic,0
C1191,61.0,45,115.89,4.0,1,basic,0
C1192,69.0,44,100.09,4.0,0,premium,0
C1193,34.0,26,79.37,2.0,1,standard,0
C1194,61.0,69,98.26,3.0,0,basic,0
C1195,62.0,7,99.51,5.0,0,basic,0
C1196,46.0,25,114.6,3.0,4,premium,1
C1197,54.0,9,45.34,3.0,1,standard,1
C1198,33.0,25,79.01,9.0,2,standard,0
C1199,70.0,69,29.5,7.0,1,basic,0
C1200,74.0,27,81.62,1.0,4,basic,1
C1201,73.0,65,37.13,4.0,3,basic,1
C1202,60.0,36,76.5,3.0,2,standard,1
C1203,20.0,50,77.24,4.0,0,basic,0
C1204,38.0,33,66.6,1.0,1,basic,1
C1205,43.0,19,72.26,5.0,0,standard,0
C1206,72.0,55,96.39,5.0,2,premium,0
C1207,49.0,69,99.92,5.0,0,standard,0
C1208,48.0,19,69.22,4.0,1,basic,1
C1209,26.0,56,79.96,4.0,3,basic,0
C1210,63.0,19,113.12,3.0,2,basic,0
C1211,37.0,51,31.97,5.0,3,basic,0
C1212,23.0,57,31.71,3.0,1,standard,0
C1213,74.0,32,28.77,4.0,1,basic,0
C1214,28.0,53,85.79,8.0,1,standard,0
C1215,18.0,20,61.86,7.0,1,premium,0
C1216,22.0,6,97.43,3.0,1,premium,1
C1217,43.0,7,87.12,4.0,3,basic,1
C1218,23.0,32,53.36,3.0,0,basic,0
C1219,66.0,65,109.84,5.0,1,basic,0
C1220,47.0,10,96.25,3.0,2,basic,1
C1221,36.0,33,47.05,3.0,0,basic,0
C1222,18.0,50,56.42,7.0,0,basic,0
C1223,45.0,15,51.44,3.0,2,standard,1
C1224,26.0,52,35.76,3.0,1,basic,0
C1225,73.0,22,34.78,3.0,1,premium,1
C1226,34.0,58,113.61,11.0,1,basic,0
C1227,45.0,42,63.79,0.0,1,basic,1
C1228,19.0,39,58.33,6.0,0,basic,0
C1229,25.0,13,92.97,7.0,2,basic,0
C1230,29.0,33,75.3,5.0,4,basic,0
C1231,20.0,61,113.61,2.0,3,premium,0
C1232,45.0,2,98.03,5.0,0,basic,0
C1233,71.0,54,67.94,4.0,1,basic,0
C1234,74.0,35,57.64,3.0,1,standard,0
C1235,45.0,52,118.66,5.0,1,basic,0
C1236,62.0,48,91.78,2.0,3,standard,1
C1237,46.0,31,115.12,3.0,2,basic,0
C1238,20.0,22,31.85,4.0,1,premium,0
C1239,23.0,45,105.05,3.0,1,basic,0
C1240,49.0,10,83.71,7.0,2,basic,1
C1241,42.0,42,32.19,4.0,1,standard,0
C1242,18.0,7,78.83,2.0,2,premium,1
C1243,71.0,47,88.61,6.0,0,basic,0
C1244,59.0,45,21.23,3.0,1,standard,0
C1245,46.0,6,65.43,3.0,3,basic,1
C1246,74.0,54,102.54,3.0,2,basic,0
C1247,73.0,30,49.54,4.0,1,basic,0
C1248,73.0,56,65.85,4.0,2,standard,0
C1249,32.0,3,64.23,9.0,1,basic,0
C1250,68.0,13,50.19,2.0,0,standard,0
C1251,46.0,36,111.84,6.0,2,basic,0
C1252,59.0,14,98.13,8.0,2,premium,0
C1253,66.0,24,31.06,4.0,1,premium,0
C1254,27.0,47,119.7,7.0,3,basic,0
C1255,43.0,11,107.92,4.0,0,basic,0
C1256,25.0,49,48.39,4.0,2,basic,0
C1257,33.0,8,103.69,2.0,4,premium,1
C1258,41.0,13,30.64,3.0,2,basic,1
C1259,66.0,42,119.91,5.0,1,standard,0
C1260,67.0,57,86.57,3.0,3,basic,0
C1261,45.0,13,85.01,8.0,1,standard,0
C1262,36.0,22,29.04,6.0,0,basic,0
C1263,48.0,66,109.7,3.0,1,standard,0
C1264,69.0,71,22.9,1.0,1,premium,0
C1265,73.0,42,44.08,2.0,2,basic,0
C1266,30.0,32,34.3,6.0,1,premium,0
C1267,28.0,25,97.68,5.0,2,basic,0
C1268,58.0,44,39.82,3.0,5,basic,1
C1269,35.0,42,111.06,4.0,2,premium,0
C1270,29.0,21,85.63,5.0,0,standard,0
C1271,19.0,2,23.62,6.0,0,standard,0
C1272,40.0,11,20.54,4.0,3,basic,1
C1273,40.0,69,25.17,2.0,0,basic,0
C1274,50.0,30,80.59,6.0,3,basic,0
C1275,29.0,35,100.15,7.0,4,standard,0
C1276,58.0,34,43.86,7.0,0,basic,0
C1277,56.0,56,104.94,2.0,1,basic,0
C1278,44.0,5,25.72,3.0,0,basic,0
C1279,28.0,6,100.1,3.0,1,basic,0
C1280,46.0,20,112.78,5.0,4,basic,1
C1281,56.0,35,97.21,7.0,1,basic,0
C1282,39.0,48,89.81,8.0,2,premium,0
C1283,33.0,35,103.8,8.0,2,standard,0
C1284,46.0,32,24.02,5.0,1,basic,0
C1285,38.0,67,40.18,4.0,1,standard,0
C1286,40.0,12,32.49,3.0,1,premium,0
C1287,37.0,41,70.45,2.0,1,basic,0
C1288,35.0,39,94.52,3.0,1,basic,0
C1289,58.0,34,83.0,1.0,0,basic,0
C1290,44.0,58,105.11,1.0,1,basic,0
C1291,44.0,19,35.52,4.0,4,standard,1
C1292,55.0,68,93.46,3.0,0,premium,0
C1293,38.0,24,39.3,3.0,3,basic,0
C1294,23.0,39,47.08,6.0,2,standard,0
C1295,66.0,37,90.99,3.0,0,basic,0
C1296,21.0,61,118.02,2.0,1,standard,0
C1297,50.0,32,81.15,6.0,5,standard,1
C1298,33.0,21,25.45,3.0,0,basic,0
C1299,30.0,2,81.63,3.0,1,basic,0
